ID,Source,Date Published,Pages,Title,Inventer,Filing Date,Applicant Name,Patent Number,Relevency
127,US-PGPUB,2024-10-10,29,MOBILITY MANAGEMENT FOR HANDOVERS BETWEEN A TERRESTRIAL NETWORK AND A NON-TERRESTRIAL NETWORK,WU; Shuanshuan et al.,2023-04-06,QUALCOMM Incorporated,20240340748,3.8664212
128,US-PGPUB,2024-10-10,25,MULTILINGUAL TEXT-TO-IMAGE GENERATION,Marri; Venkata Naveen Kumar Yadav et al.,2023-04-05,ADOBE INC.,20240338859,4.4107466
129,US-PGPUB,2024-10-10,36,PROACTIVE ADJUSTMENT OF RESOURCE ALLOCATION TO INFORMATION TECHNOLOGY ASSETS BASED ON PREDICTED RESOURCE UTILIZATION,Muttikal Thomas; Naveen Silvester et al.,2023-04-06,Dell Products L.P.,20240338254,4.4093275
130,US-PGPUB,2024-10-10,17,GENERATING ALLOGENIC ENDOTHELIAL CELL-SEEDED VASCULAR GRAFTS AND METHODS OF USE THEREOF,THOMSON; James et al.,2023-04-07,Wisconsin Alumni Research  Foundation,20240335593,4.4015837
131,US-PGPUB,2024-10-10,26,METHODS AND APPARATUS FOR BLUEPRINT EXTENSIBILITY VIA PLUGINS,Raikov; Ventsyslav et al.,2023-04-07,VMware LLC,20240338229,4.6939173
132,US-PGPUB,2024-10-10,29,AIRCRAFT BEAM MUTING FOR MULTI-AIRCRAFT EMERGENCY MESSAGE RELAYING,YIN; Mingxi et al.,2023-04-04,QUALCOMM Incorporated,20240340079,2.8785152
133,US-PGPUB,2024-10-10,18,METHOD AND APPARATUS FOR AUTOENCODER-BASED ANOMALY DETECTION IN MEDICAL IMAGING SYSTEMS,KOLTHAMMER; Jeffrey et al.,2023-04-07,CANON MEDICAL SYSTEMS CORPORATION,20240335178,4.0040936
134,US-PGPUB,2024-10-10,41,AUTARCHICAL POWER DOMAINS FOR EXECUTING MINIMAL RISK CONDITIONS,GHOSH DASTIDAR; ARPITA et al.,2023-04-04,GHOST AUTONOMY INC.,20240338331,3.4530654
135,US-PGPUB,2024-10-10,18,HYBRID RICE RT23L401,Diao; Liping et al.,2023-04-04,"RiceTec, Inc.",20240334890,4.104972
136,US-PGPUB,2024-10-10,30,APPARATUS AND METHOD FOR PROCESSING DATA FOR EXTERNAL USERS,Willardson; Chad et al.,2023-04-06,"Gravystack, Inc.",20240338420,4.371575
137,US-PGPUB,2024-10-10,26,Network Configured Operation of User Equipment With Artificial Intelligence/Machine Learning Model Capability,Shrivastava; Rudraksh,2023-04-06,SHARP Kabushiki Kaisha,20240340653,6.424717
138,US-PGPUB,2024-10-10,13,Stretchable Piezoelectric Biocrystal Thin Films,Wang; Xudong et al.,2023-04-04,Wisconsin Alumni Research Foundation,20240341196,3.644366
139,US-PGPUB,2024-10-10,21,GUIDED WEB CRAWLER FOR AUTOMATED IDENTIFICATION AND VERIFICATION OF WEBPAGE RESOURCES,Mukherjee; Sourish et al.,2023-04-06,"PAYPAL, INC.",20240338415,3.197233
140,US-PGPUB,2024-10-10,38,Production Efficiency Optimization For Bipolar Electrodialysis Device,Loretz; Jeremy et al.,2023-04-06,"Ebb Carbon, Inc.",20240336503,3.592396
141,US-PGPUB,2024-10-10,142,TENSOR DIMENSION ORDERING TECHNIQUES,Springer; Paul Martin et al.,2023-05-01,NVIDIA Corporation,20240338175,3.7876813
142,US-PGPUB,2024-10-10,15,DARK-OUT BOX FOR AGRICULTURAL VENTILATION,Mohr; Thomas,2023-04-10,Munters Corporation,20240334895,4.2137685
143,US-PGPUB,2024-10-10,55,POWER DISTRIBUTION SYSTEM,Campbell; Steven L. et al.,2023-04-10,"UT-Battelle, LLC",20240339841,5.0876875
144,US-PGPUB,2024-10-10,21,TECHNIQUE FOR DEFINING FEATURES AND PREDICTING LIKELIHOOD OF ADOPTION OF THE SAME USING MACHINE LEARNING MODELS,Shami; Mohammad et al.,2023-04-04,"Cisco Technology, Inc.",20240340223,3.457301
145,US-PGPUB,2024-10-10,29,IMAGING SYSTEMS AND METHODS FOR DATA-DRIVEN APPARATUS INSPECTION,Dey; Pradeep,2023-05-25,Honeywell International Inc.,20240340517,3.1999357
146,US-PGPUB,2024-10-10,50,GENERATING TEMPLATES FOR USE IN SYNTHETIC DOCUMENT GENERATION PROCESSES,Dua; Karan et al.,2023-04-04,Oracle International Corporation,20240338959,5.138382
147,US-PGPUB,2024-10-10,120,ADAPTIVE SECURITY ARCHITECTURE BASED ON STATE OF POSTURE,Thompson; Jonathan J.,2023-05-30,"AS0001, Inc.",20240340301,4.2690363
148,US-PGPUB,2024-10-10,19,APPARATUSES AND METHODS FOR FACILITATING MANAGEMENT AND USE OF RESOURCES IN RELATION TO RESTORATION PATHS OF NETWORKS AND SYSTEMS,Singh; Preeti et al.,2023-05-24,CIENA CORPORATION,20240340254,4.5293946
149,US-PGPUB,2024-10-10,22,SIMULATED SOFTWARE FEATURES IN A SIMULATED SANDBOX WITHIN A PRODUCTION ENVIRONMENT,Yang; Wenying et al.,2023-06-05,"Salesforce, Inc.",20240338302,3.2950816
150,US-PGPUB,2024-10-10,101,"IL-17F AND IL-17A-SPECIFIC CAPTURE AGENTS, COMPOSITIONS, AND METHODS OF USING AND MAKING",Agnew; Heather et al.,2023-06-15,"Regeneron Pharmaceuticals, Inc.,California Institute of Technology",20240337665,4.3423815
151,US-PGPUB,2024-10-10,28,METHODS AND APPARATUS TO MANAGE CLOUD COMPUTING RESOURCES,Raikov; Ventsyslav et al.,2023-04-07,VMware LLC,20240340255,4.7313123
152,US-PGPUB,2024-10-10,24,METHOD AND SYSTEM FOR OPTIMIZING MEDICAL IMAGINING EXAMINATION,MOHAMED SHEIK KATHI; HAJA NAZURUDEEN,2023-06-14,L&amp;T TECHNOLOGY SERVICES LIMITED,20240339214,6.259178
153,US-PGPUB,2024-10-10,80,"NFT Based Secure Authentication and Notification Apparatuses, Processes and Systems",De La Rosa; Leticia et al.,2023-04-04,FMR LLC,20240338688,1.7453313
154,US-PGPUB,2024-10-10,81,"NFT Based Secure Authentication and Notification Apparatuses, Processes and Systems",De La Rosa; Leticia et al.,2023-04-04,FMR LLC,20240338689,1.7474973
155,US-PGPUB,2024-10-10,17,SYNTHETIC DATA GENERATION OF IMAGE TRAINING DATA,Sanvoravong; Khamsouksavanh et al.,2023-04-04,Florida Power &amp; Light Company,20240338931,5.695877
156,US-PGPUB,2024-10-10,9,REPRODUCING FAST EYE MOVEMENT USING IMAGING OF ROBOT WITH LIMITED ACTUATOR SPEED,Zhao; Frank et al.,2023-04-05,Sony Interactive Entertainment Inc.,20240335942,5.142111
157,US-PGPUB,2024-10-10,18,VOICE DRIVEN MODIFICATION OF SUB-PARTS OF ASSETS IN COMPUTER SIMULATIONS,Krishnamurthy; Sudha et al.,2023-04-06,Sony Interactive Entertainment Inc.,20240338887,5.060311
158,US-PGPUB,2024-10-10,80,"NFT Based Secure Authentication and Notification Apparatuses, Processes and Systems",De La Rosa; Leticia et al.,2023-04-04,FMR LLC,20240338381,1.7565293
159,US-PGPUB,2024-10-10,26,SYSTEMS AND METHODS FOR DOMAIN ADAPTATION IN NEURAL NETWORKS USING CROSS-DOMAIN BATCH NORMALIZATION,Chen; Ruxin et al.,2023-04-06,Sony Interactive Entertainment Inc.,20240338552,4.3941164
160,US-PGPUB,2024-10-10,75,MASKING SPARSE INPUTS AND OUTPUTS IN NEURAL NETWORK ARRAY,Tran; Hieu Van et al.,2023-06-20,"Silicon Storage Technology, Inc.",20240338144,5.9236236
161,US-PGPUB,2024-10-10,47,"ELECTRONIC DEVICE FOR PROVIDING HIGH ACCURACY BIO-SIGNALS BASED ON INFORMATION OBTAINED IN A NON-CONTACT MANNER, SYSTEM, AND OPERATION METHOD OF THE SAME",PARK; Ki Bum,2023-07-06,"GB SOFT CO., LTD",20240338965,6.562832
162,US-PGPUB,2024-10-10,31,SYSTEMS AND METHODS FOR FRAME-BASED VALIDATION,Pokkalla; Harsha Vardhan et al.,2023-07-20,"Pokkalla; Harsha Vardhan,Elliott; Hunter L.,Wang; Dayong,Glass; Benjamin P.,Wapinski; Ilan N.,Kerner; Jennifer K.,Beck; Andrew H.,Khosla; Aditya,Gullapally; Sai Chowdary,Srinivasan; Ramprakash,Gerardin; Ylaine,Shamshoian; John,Abel; John,Shen; Ciyue",20240339197,2.9759839
163,US-PGPUB,2024-10-10,35,RECOMMENDATING PERSONALIZED DIGITAL DESIGN TEMPLATES UTILIZING CONTENT EMBEDDINGS,Khanna; Anand et al.,2023-07-12,Adobe Inc.,20240338406,5.5261383
164,US-PGPUB,2024-10-10,26,RULE-BASED AND ARTIFICIAL INTELLIGENCE-BASED HYBRID ANALYTICS FOR ACTION FACILITATION,Ji; Wei et al.,2023-07-31,"Zoom Video Communications, Inc.",20240338628,5.860725
165,US-PGPUB,2024-10-10,16,RENDERING AMBISONICS SOUND SOURCES USING FRACTIONAL ORDERS,Sangston; Brandon,2023-04-05,Sony Interactive Entertainment Inc.,20240335751,5.0549216
166,US-PGPUB,2024-10-10,19,Systems and Devices for Enhancing Visibility of Internal Connection Mechanisms,Kurra; Chandana et al.,2023-07-19,"Mineral City Biotechnologies, LLC",20240335250,5.126634
167,US-PGPUB,2024-10-10,44,DATA STORAGE DEVICE CONFIGURED FOR USE WITH A GENERATIVE-ADVERSARIAL-NETWORK (GAN),Navon; Ariel et al.,2023-08-09,"Western Digital Technologies, Inc.",20240338275,5.1180325
168,US-PGPUB,2024-10-10,51,"PHOTOGRAPHING LENS ASSEMBLY, IMAGING APPARATUS AND ELECTRONIC DEVICE",TSAI; CHENG-YU et al.,2023-07-17,"LARGAN PRECISION CO., LTD.",20240337817,2.7662325
169,US-PGPUB,2024-10-10,45,DATA STORAGE DEVICE CONFIGURED FOR USE WITH A GENERATIVE-ADVERSARIAL-NETWORK (GAN),Navon; Ariel et al.,2023-08-11,"Western Digital Technologies, Inc.",20240338311,5.0428224
170,US-PGPUB,2024-10-10,11,ANODE ACTIVE MATERIAL LAYER AND ALL-SOLID-STATE BATTERY USING THE SAME,Chung; Gyeong Jun et al.,2023-08-15,"Hyundai Motor Company,Kia Corporation",20240339595,4.88812
171,US-PGPUB,2024-10-10,44,DATA STORAGE DEVICE CONFIGURED FOR USE WITH A GENERATIVE-ADVERSARIAL-NETWORK (GAN),Linnen; Daniel Joseph et al.,2023-08-09,"Western Digital Technologies, Inc.",20240338312,5.3097034
172,US-PGPUB,2024-10-10,30,Femoral Component Extractor,Alden; Dana Andrew,2023-04-10,"Tri-Sphere Holdings, LLC",20240335299,5.4364314
173,US-PGPUB,2024-10-10,9,ALL-SOLID-STATE BATTERY WITH REDUCED INTERFACIAL RESISTANCE,KIM; Dong Hyun et al.,2023-08-25,"Hyundai Motor Company,Kia Corporation",20240339655,4.063994
174,US-PGPUB,2024-10-10,13,METHOD OF MANUFACTURING NEGATIVE ELECTRODE FOR ALL-SOLID-STATE BATTERY USING RUBBER-BASED BINDER,Lee; Byung Yong et al.,2023-08-22,"Hyundai Motor Company,Kia Corporation",20240339614,5.7390375
175,US-PGPUB,2024-10-10,14,ALL-SOLID-STATE BATTERY INCLUDING NEGATIVE ELECTRODE LAYER IN THICK-FILM FORM AND METHOD OF MANUFACTURING THE SAME,Kim; Dong Hyun et al.,2023-08-30,"Hyundai Motor Company,Kia Corporation",20240339596,4.7046137
176,US-PGPUB,2024-10-10,22,APPARATUS AND METHOD FOR SUPPORTING DATA INPUT/OUTPUT OPERATION BASED ON A DATA ATTRIBUTE IN A SHARED MEMORY DEVICE OR A MEMORY EXPANDER,HONG; Sung Hyun,2023-08-30,SK hynix Inc.,20240338330,4.838568
177,US-PGPUB,2024-10-10,16,APPARATUS FOR AND METHOD OF CONTROLLING ENERGY FOR HYBRID ELECTRIC VEHICLE,KIM; Jin Seong et al.,2023-08-18,"Hyundai Transys Inc.,Auburn University",20240336253,3.7306995
178,US-PGPUB,2024-10-10,17,Tragus Clipping Earphone,Liu; Yuanhao,2023-09-04,Liu; Yuanhao,20240340569,3.8138065
179,US-PGPUB,2024-10-10,61,DEBUGGING FRAMEWORK FOR A RECONFIGURABLE DATA PROCESSOR,GOEL; Arnav et al.,2023-09-11,"SambaNova Systems, Inc.",20240338297,3.757998
180,US-PGPUB,2024-10-10,69,ANALOG COMPUTATION-IN-MEMORY ENGINE AND DIGITAL COMPUTATION-IN-MEMORY ENGINE TO PERFORM OPERATIONS IN A NEURAL NETWORK,Tran; Hieu Van,2023-07-05,"Silicon Storage Technology, Inc.",20240338177,5.833895
181,US-PGPUB,2024-10-10,61,INTELLIGENT GRAPH EXECUTION AND ORCHESTRATION ENGINE FOR A RECONFIGURABLE DATA PROCESSOR,GOEL; Arnav et al.,2023-09-08,"SambaNova Systems, Inc.",20240338340,3.7523332
182,US-PGPUB,2024-10-10,29,AUGMENTED REALITY SYSTEM TO PROVIDE RECOMMENDATION TO PURCHASE A DEVICE THAT WILL IMPROVE HOME SCORE,Cardona; Alexander et al.,2023-09-25,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,20240338903,4.4435663
183,US-PGPUB,2024-10-10,29,AUGMENTED REALITY SYSTEM TO PROVIDE RECOMMENDATION TO REPAIR OR REPLACE AN EXISTING DEVICE TO IMPROVE HOME SCORE,Cardona; Alexander et al.,2023-09-25,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,20240338904,4.4435663
184,US-PGPUB,2024-10-10,38,IMAGE GENERATION WITH MULTIPLE IMAGE EDITING MODES,Zhou; Yuqian et al.,2023-09-26,ADOBE INC.,20240338869,4.966245
185,US-PGPUB,2024-10-10,22,SYSTEM AND METHOD FOR KEYWORD SPOTTING IN NOISY ENVIRONMENTS,Yang; Chou-Chang et al.,2023-09-20,"Samsung Electronics Co., Ltd.",20240339123,3.2930825
186,US-PGPUB,2024-10-10,20,ARTIFICIAL INTELLIGENCE CO-PILOT FOR MANNED AND UNMANNED AIRCRAFT,Arteaga; Ricardo Alejandro,2023-04-09,Arteaga; Ricardo Alejandro,20240339039,5.8822937
187,US-PGPUB,2024-10-10,42,SYSTEM FOR AUTOMATED MODEL SELECTION TO FACILITATE DETECTION OF SUSPICIOUS DIGITAL IDENTIFIERS,Radon; Aungon Nag,2023-09-20,"Lookout, Inc.",20240338576,5.7289352
188,US-PGPUB,2024-10-10,33,Form Field Recommendation Management,Bhamidipati; Subash et al.,2023-10-05,Oracle International Corporation,20240338233,2.8688877
189,US-PGPUB,2024-10-10,31,GENERATIVE AI BASED TEXT EFFECTS WITH CONSISTENT STYLING,Iyer; Siddharth et al.,2023-10-02,ADOBE INC.,20240338870,4.3044944
190,US-PGPUB,2024-10-10,26,SECONDARY CELL MEASUREMENT REPORTING AFTER ACTIVATION,CHO; Hyunwoo et al.,2023-09-20,QUALCOMM Incorporated,20240340671,4.1071196
191,US-PGPUB,2024-10-10,13,"ADDITIVE FOR RECHARGEABLE LITHIUM BATTERY, ELECTROLYTE INCLUDING SAME AND RECHARGEABLE LITHIUM BATTERY",RYU; Bokyung et al.,2023-09-25,"SAMSUNG SDI CO., LTD.",20240339659,5.6365385
192,US-PGPUB,2024-10-10,25,EDGE ENHANCEMENT FOR SKY REPLACEMENT,FENG; Guotong et al.,2023-07-14,Adobe Inc.,20240338794,4.539013
193,US-PGPUB,2024-10-10,81,"NFT Based Secure Authentication and Notification Apparatuses, Processes and Systems",De La Rosa; Leticia et al.,2023-04-04,FMR LLC,20240340179,1.7460146
194,US-PGPUB,2024-10-10,22,SECURE THREE-PARTY MULTIPLICATION METHOD AND SYSTEM FOR PRIVACY COMPUTING,ZHU; Haogang et al.,2023-10-05,BEIHANG UNIVERSITY,20240340172,3.0769343
195,US-PGPUB,2024-10-10,10,REAL-TIME PATH PLANNING METHOD FOR INTELLIGENT DRIVING TAKING INTO ACCOUNT DYNAMIC PROPERTIES OF HIGH-PRECISION VEHICLES,CHEN; Hong et al.,2023-10-14,Tongji University,20240336302,6.343622
196,US-PGPUB,2024-10-10,20,"ANTI-MALICIOUS METHOD, DEVICE AND MEDIUM FOR SECURE THREE-PARTY COMPUTATION",ZHU; Haogang et al.,2023-10-04,BEIHANG UNIVERSITY,20240338489,3.2290204
197,US-PGPUB,2024-10-10,53,SYSTEM FOR GENERATING SAMPLES TO GENERATE MACHINE LEARNING MODELS TO FACILITATE DETECTION OF SUSPICIOUS DIGITAL IDENTIFIERS,Radon; Aungon Nag et al.,2023-10-13,"Lookout, Inc.",20240340314,5.638435
198,US-PGPUB,2024-10-10,9,"POSITIVE ELECTRODE ACTIVE MATERIAL, ELECTROCHEMICAL DEVICE AND ELECTRONIC APPARATUS",Wu; Guanhong et al.,2023-10-16,AESC Japan Ltd.,20240339609,5.391889
199,US-PGPUB,2024-10-10,28,BACKGROUND SEPARATION FOR GUIDED GENERATIVE MODELS,Katakol; Sudeep et al.,2023-11-02,ADOBE INC.,20240338829,4.278167
200,US-PGPUB,2024-10-10,42,NPU AND APPARATUS FOR TRANSCEIVING FEATURE MAP IN A BITSTREAM FORMAT,KIM; Lok Won et al.,2023-11-13,"DEEPX CO., LTD.",20240338937,6.5728455
201,US-PGPUB,2024-10-10,32,SYSTEM AND METHOD FOR HYBRID PRECISE POINT POSITIONING AND REAL-TIME KINEMATIC POSITION ESTIMATION,Rao; Pramukta et al.,2023-11-27,Zephr.xyz Inc.,20240337757,2.9759839
202,US-PGPUB,2024-10-10,20,NATURAL LANGUAGE TO APPLICATION PROGRAMMING INTERFACE TRANSLATION,Popp; Bogdan,2023-10-30,"Expedia, Inc.",20240338534,5.3223076
203,US-PGPUB,2024-10-10,21,OBJECT REGION SEGMENTATION DEVICE AND OBJECT REGION SEGMENTATION METHOD THEREOF,Cho; Jae Hoon,2023-11-14,"HYUNDAI MOTOR COMPANY,KIA CORPORATION",20240338934,3.447111
204,US-PGPUB,2024-10-10,36,SYNCHRONIZATION SIGNAL BLOCK DESIGN FOR NARROWBAND OPERATION,RODRIGUEZ FERNANDEZ; Javier et al.,2023-10-25,QUALCOMM Incorporated,20240340821,2.5983026
205,US-PGPUB,2024-10-10,9,METHOD AND SYSTEM FOR A QUANTUM-ENHANCED DECRYPTION PROCESS FOR RSA AND AES ENCRYPTIONS,"Coventry, III; Robert",2023-11-20,Cambridge Weaponry,20240340169,5.7486744
206,US-PGPUB,2024-10-10,42,SOUNDING REFERENCE SIGNAL (SRS) FREQUENCY HOPPING FOR DISTRIBUTED ANTENNA PORT MAPPING,HUANG; Yi et al.,2023-11-28,QUALCOMM Incorporated,20240340130,3.5627582
207,US-PGPUB,2024-10-10,20,OBJECT RECOGNITION APPARATUS FOR AN AUTONOMOUS VEHICLE AND AN OBJECT RECOGNITION METHOD THEREFOR,Choi; Jong Hyun,2023-11-14,"HYUNDAI MOTOR COMPANY,KIA CORPORATION",20240338949,5.518273
208,US-PGPUB,2024-10-10,22,DEVICE AND METHOD FOR CONTROLLING A VEHICLE,Kim; Il Hwan,2023-11-09,"HYUNDAI MOTOR COMPANY,KIA CORPORATION",20240336258,6.1236663
209,US-PGPUB,2024-10-10,14,AUTONOMOUS VEHICLE REMOTE CONTROL APPARATUS AND METHOD BASED ON HETEROGENEOUS NETWORKS,LIU; Yuntao et al.,2023-11-08,ZHEJIANG LAB,20240338019,3.8084514
210,US-PGPUB,2024-10-10,20,"BODY TEMPERATURE-RESPONSIVE, STIFFNESS-VARYING AND NON-REUSABLE INTRAVENOUS NEEDLE WITH ON-SITE TEMPERATURE SENSING FOR IMPROVED PATIENT CARE, INTRAVENOUS INFUSION SET HAVING THE SAME, AND MANUFACTURING METHOD OF THE SAME",JEONG; Jae-Woong et al.,2023-11-16,Korea Advanced Institute Of Science And Technology,20240335640,5.9672694
211,US-PGPUB,2024-10-10,34,GLOBAL NAVIGATION SATELLITE SYSTEM OPERATION WITH TRIGGERED GAPS,RICO ALVARINO; Alberto et al.,2023-12-12,QUALCOMM Incorporated,20240337758,3.820611
212,US-PGPUB,2024-10-10,31,NANOEMULSION WITHOUT PROPYLENE GLYCOL,FOGUET; Montserrat et al.,2023-12-08,Biofrontera Bioscience GmbH,20240335380,4.3722696
213,US-PGPUB,2024-10-10,19,PREDICTION OF CANCELLATIONS OF BOOKED EVENTS,Kar; Debarshi Kumar et al.,2023-12-14,"Garuda Labs, Inc.",20240338613,4.6058
214,US-PGPUB,2024-10-10,21,APPARATUS AND METHOD FOR DISPLAYING INDOOR DRIVING INFORMATION USING MAP INFORMATION AND MOTION SENSOR,Chihwan; Kim et al.,2023-12-06,"HYUNDAI MOTOR COMPANY,KIA CORPORATION,Hyundai Autoever Corp",20240337495,3.4466565
215,US-PGPUB,2024-10-10,19,SMART DATA SIGNALS FOR ARTIFICIAL INTELLIGENCE BASED MODELING,Panda; Lopamudra et al.,2023-11-29,"ExlService Holdings, Inc.",20240338386,6.0851774
216,US-PGPUB,2024-10-10,47,PRESSURIZED NANOEMULSION,FOGUET; Montserrat et al.,2023-12-08,Biofrontera Bioscience GmbH,20240335360,4.3073716
217,US-PGPUB,2024-10-10,33,SYNCHRONIZATION RASTER BASED ON TRANSMISSION BANDWIDTH,LAEHTEENSUO; Toni Harri Henrikki et al.,2023-12-13,QUALCOMM  Incorporated,20240340822,3.9139316
218,US-PGPUB,2024-10-10,22,"Apparatus, device, method and computer program for an autonomously acting machine or a computer system",STOEFFLER; Norbert et al.,2023-12-22,Intel Corporation,20240335947,5.21285
219,US-PGPUB,2024-10-10,17,ACTIVE DICHROIC OPTICAL DEVICE AND MANUFACTURING METHOD THEREOF,Jeong; Hyeon-Ho et al.,2023-12-27,Gwangju Institute of Science and Technology,20240337887,4.0809393
220,US-PGPUB,2024-10-10,15,Non-Aqueous Electrolyte and Lithium Secondary Battery Including the Same,Baek; Ga Young et al.,2023-12-28,"LG Energy Solution, Ltd.",20240339658,5.063774
221,US-PGPUB,2024-10-10,28,SYSTEMS AND METHODS FOR ELECTRIC PROPULSION SYSTEMS FOR ELECTRIC ENGINES,Salam; Mohamed A. et al.,2023-12-21,Honeywell International Inc.,20240339893,3.5911043
222,US-PGPUB,2024-10-10,41,TRANSMISSION OF REFERENCE SIGNALS IN ASSOCIATION WITH CELL DISCONTINUOUS TRANSMISSION AND RECEPTION CONFIGURATIONS,LY; Hung Dinh et al.,2024-01-12,QUALCOMM Incorporated,20240340997,2.321957
223,US-PGPUB,2024-10-10,14,VEHICLE,OGURI; Haruki et al.,2024-01-22,TOYOTA JIDOSHA KABUSHIKI KAISHA,20240338029,4.0040936
224,US-PGPUB,2024-10-10,15,ADJUSTING ADAPTIVE OPTICAL LENS FROM SENSED DISTANCE,Zurauskas; Mantas,2024-01-22,"Meta Platforms Technologies, LLC",20240337866,6.206331
225,US-PGPUB,2024-10-10,12,SYSTEM AND METHOD FOR MANAGING CUSTOMER FEEDBACK,Mala; Ornis,2024-01-23,Mala; Ornis,20240338736,5.5809727
226,US-PGPUB,2024-10-10,73,METHODS AND COMPOSITIONS RELATED TO MODIFIED METHYLTRANSFERASES AND ENGINEERED BIOSENSORS,Ellington; Andrew et al.,2024-02-08,"BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM",20240336900,5.0572343
227,US-PGPUB,2024-10-10,27,RADIO LINK MONITORING AND RECEPTION POWER FOR A CARRIER WITHOUT AN SSB IN INTER-BAND CARRIER AGGREGATION,CHO; Hyunwoo et al.,2024-01-17,QUALCOMM Incorporated,20240340820,3.9775553
228,US-PGPUB,2024-10-10,37,PERFORMANCE MONITORING FOR ARTIFICIAL INTELLIGENCE (AI)/MACHINE LEARNING (ML) FUNCTIONALITIES AND MODELS,BALEVI; Eren et al.,2024-01-29,QUALCOMM Incorporated,20240340660,5.1428494
229,US-PGPUB,2024-10-10,35,DYNAMIC INDICATION TO SKIP CHANNEL RECEPTION OR TRANSMISSION,LY; Hung Dinh et al.,2024-02-02,QUALCOMM Incorporated,20240340998,3.7407446
230,US-PGPUB,2024-10-10,35,MEMORY DEVICE AND OPERATION METHOD THEREOF,Kim; Dongha et al.,2024-01-25,"SAMSUNG ELECTRONICS CO., LTD.",20240339145,3.082382
231,US-PGPUB,2024-10-10,37,TRANSMIT POWER AND BEAM SELECTION FOR RANDOM ACCESS CHANNEL PROCEDURE MESSAGES,BAI; Tianyang et al.,2024-02-13,QUALCOMM Incorporated,20240340856,3.8159966
232,US-PGPUB,2024-10-10,24,ELECTRONIC DEVICE FOR PERFORMING SATELLITE COMMUNICATION AND OPERATING METHOD THEREOF,HYUNG; Seokkun,2024-02-22,"Samsung Electronics Co., Ltd.",20240340080,5.745431
233,US-PGPUB,2024-10-10,120,"Blockchain Augmented Crypto Asset Valuation Apparatuses, Processes and Systems",Flesk; Kieran et al.,2023-12-05,FMR LLC,20240338667,2.210464
234,US-PGPUB,2024-10-10,34,ELECTRONIC APPARATUS AND METHOD FOR CONTROLLING THEREOF,YOON; Daewon et al.,2024-02-22,"SAMSUNG ELECTRONICS CO., LTD.",20240335163,2.621386
235,US-PGPUB,2024-10-10,13,METHOD FOR VISUAL POSE DETERMINATION OF UNKNOWN OBJECTS IN A MIXED REALITY CONTEXT,Colafrancesco; Julien et al.,2024-02-23,"Qorvo US, Inc.",20240338906,6.2067122
236,US-PGPUB,2024-10-10,29,SIDELINK SYNCHRONIZATION SIGNAL BLOCKS,TAKEDA; Kazuki et al.,2024-02-29,QUALCOMM Incorporated,20240340824,4.61227
237,US-PGPUB,2024-10-10,18,SYSTEMS AND METHODS FOR AVATAR-BASED INTERACTIONS,Nunally; Patrick,2024-02-20,Datum Point Labs Inc.,20240339211,3.5533066
238,US-PGPUB,2024-10-10,101,"Transfer Transaction Blockchain with Clawback Apparatuses, Processes and Systems",McDonough; John et al.,2023-09-12,FMR LLC,20240338685,1.5255004
239,US-PGPUB,2024-10-10,15,"ITEM REGISTRATION APPARATUS AND METHOD, AND CART POINT-OF-SALE SYSTEM",KATO; Suguru,2024-02-20,Toshiba Tec Kabushiki Kaisha,20240338671,3.8128884
240,US-PGPUB,2024-10-10,15,USING MACHINE LEARNING TO GENERATE A WORKLOAD OF A STORAGE COMPONENT,TIKU; Saideep et al.,2024-03-05,"Micron Technology, Inc.",20240338597,5.2339125
241,US-PGPUB,2024-10-10,26,SIDELINK TRANSMISSION POWER CONTROL FOR NEW RADIO SIDELINK AND LONG TERM EVOLUTION SIDELINK CO-CHANNEL COEXISTENCE,DUTTA; Sourjya et al.,2024-03-05,QUALCOMM Incorporated,20240340813,2.8014507
242,US-PGPUB,2024-10-10,27,FOVEAL REGION PROCESSING FOR ARTIFICIAL REALITY DEVICES,Brailovskiy; Ilya et al.,2024-03-12,"Meta Platforms Technologies, LLC",20240338073,6.4748983
243,US-PGPUB,2024-10-10,24,Visualization and Customization of Sound Space,WESTLAND; Joy et al.,2024-03-07,"Meta Platforms Technologies, LLC",20240340603,6.3545456
244,US-PGPUB,2024-10-10,28,SYSTEMS AND METHODS FOR DYNAMIC FACIAL EXPRESSION RECOGNITION,Lee; Bokyeung et al.,2024-03-13,Datum Point Labs Inc.,20240338974,3.3007133
245,US-PGPUB,2024-10-10,19,SYSTEMS AND METHODS FOR TEXT-TO-SPEECH SYNTHESIS,Min; Jeongki et al.,2024-03-07,Datum Point Labs Inc.,20240339104,3.6525197
246,US-PGPUB,2024-10-10,40,DOWNLINK CONTROL INFORMATION SIZE ALIGNMENT FOR SCHEDULING UPLINK TRANSMISSION,KHOSHNEVISAN; Mostafa et al.,2024-02-23,QUALCOMM Incorporated,20240340916,2.3482037
247,US-PGPUB,2024-10-10,10,SOLUTION FOR PREPARING A BUILDING SYSTEM RELATED APPLICATION PROGRAMMING INTERFACE (API) FOR OPERATION,PIRTTIMAA; Viljami et al.,2024-03-04,KONE Corporation,20240338262,3.9953125
